V25,Anomaly,Location,sd,,,,
0-25%,0.8860205,N_Anomaly,0.1923409,,,,
25-50%,0.8377097,N_Anomaly,0.2363414,,,,
50-75%,1.2689793,N_Anomaly,0.2728952,,,,
75-100%,1.0479501,N_Anomaly,0.1622971,,,,
0-25%,1.0365669,S_Anomaly,0.1363635,,,,
25-50%,0.9146387,S_Anomaly,0.2459387,,,,
50-75%,1.182383,S_Anomaly,0.224481,,,,
75-100%,0.9557609,S_Anomaly,0.2054307,,,,
0-25%,1.0146675,V_Anomaly,0.14485968,,,,
25-50%,0.9940917,V_Anomaly,0.07130049,,,,
50-75%,1.1347241,V_Anomaly,0.06239507,,,,
75-100%,0.9274788,V_Anomaly,0.10317445,,,,
